,latitude,longitude,free_bikes
0,43.685924,-79.376304,0
1,43.6677628,-79.30811709999999,12
2,43.691468,-79.288619,2
3,43.640722,-79.391051,2
4,43.643834,-79.396649,13
5,43.76073963892478,-79.5000273116394,1
6,43.6568254,-79.3966159,9
7,43.7741,-79.5005,0
8,43.656094,-79.381484,18
9,43.658777,-79.369596,9
10,43.661559,-79.413845,1
11,43.663376,-79.392125,13
12,43.651145,-79.423742,34
13,43.647259,-79.379878,34
14,43.6397,-79.44865,4
15,43.666233,-79.373327,16
16,43.672152,-79.39018,5
17,43.690237,-79.350119,5
18,43.671349,-79.29451,11
19,43.645469,-79.411084,10
20,43.661673,-79.337789,14
21,43.642697996199985,-79.4049993694586,2
22,43.671526,-79.44874,1
23,43.673118,-79.318651,13
24,43.72690169821676,-79.22920396582664,8
25,43.7805505,-79.1301203,23
26,43.6625395,-79.5030161,14
27,43.641529,-79.386741,3
28,43.78387252467251,-79.40786809814757,3
29,43.70751755961952,-79.30252066313936,4
30,43.6452972,-79.3827914,17
31,43.652777,-79.372637,7
32,43.690564,-79.326319,0
33,43.661152,-79.358505,6
34,43.670042134416704,-79.4789424818056,1
35,43.67,-79.42083333333333,0
36,43.633473,-79.425679,8
37,43.6704403,-79.45328549999999,0
38,43.64281323408372,-79.40751415588915,4
39,43.66701830465472,-79.4027958687172,7
40,43.6333523484014,-79.41436313073005,11
41,43.74531103700256,-79.20970650787817,7
42,43.65995363518053,-79.41787388888551,1
43,43.68871,-79.39264,1
44,43.6651094724602,-79.46833581423087,19
45,43.6856,-79.3718,1
46,43.6314,-79.4304,8
47,43.6975969,-79.39654,5
48,43.63732,-79.489083,9
49,43.6491919790139,-79.38363237427446,3
50,43.630254,-79.420317,4
51,43.6486599,-79.4376413,1
52,43.6484201,-79.40051919999999,21
53,43.6704537,-79.39014,8
54,43.707555968595464,-79.34272024477463,9
55,43.776857235099826,-79.4151161430729,4
56,43.653264,-79.382458,23
57,43.650154,-79.464934,3
58,43.63670985212708,-79.40880517790985,31
59,43.74033901575211,-79.23935319629516,13
60,43.636533,-79.395854,13
61,43.70942,-79.39139,1
62,43.641389,-79.404444,1
63,43.62649329992186,-79.50358167641535,6
64,43.74751496038769,-79.5132569853195,2
65,43.651318,-79.36023,13
66,43.755583971122874,-79.47446032684479,0
67,43.65246,-79.413528,0
68,43.6438036,-79.4770327,0
69,43.630874,-79.482407,15
70,43.7774374,-79.4447096,1
71,43.68233679999999,-79.4680594,2
72,43.658938,-79.383518,20
73,43.664524,-79.36793,3
74,43.69711160305226,-79.40537298227844,0
75,43.67883,-79.408723,0
76,43.639547,-79.420022,15
77,43.650077,-79.391291,18
78,43.677778,-79.405556,2
79,43.69254716689966,-79.46332759272917,0
80,43.6658804,-79.38761010000002,11
81,43.652686,-79.358395,5
82,43.668991,-79.379385,4
83,43.7503016975738,-79.51577557434386,1
84,43.660439,-79.385525,8
85,43.650745,-79.383633,10
86,43.650492,-79.450842,1
87,43.669244,-79.3894,8
88,43.649147,-79.395504,9
89,43.674991,-79.396273,1
90,43.63735795888104,-79.43617975886079,1
91,43.665221,-79.394009,13
92,43.656729,-79.382736,16
93,43.64883712159794,-79.48675294250663,23
94,43.668456,-79.393899,8
95,43.654501,-79.460053,1
96,43.6412561641921,-79.41502994047545,5
97,43.6554793,-79.4302462,1
98,43.718039,-79.371914,8
99,43.641705,-79.393295,10
100,43.65182,-79.47421,3
101,43.6146692,-79.4873148,17
102,43.69074600637147,-79.47820143344333,27
103,43.6492,-79.50601999999999,1
104,43.7063279,-79.3962499,17
105,43.788525214554085,-79.1231844760227,18
106,43.772445,-79.511912,1
107,43.65038002325664,-79.3787277120385,15
108,43.638925,-79.4168659,7
109,43.651885,-79.3649,17
110,43.612063,-79.496573,4
111,43.645572,-79.39399,18
112,43.685569,-79.408019,8
113,43.660414,-79.415646,3
114,43.63985,-79.43703,8
115,43.645599,-79.4657123,2
116,43.646251,-79.46472,0
117,43.65389,-79.4675,0
118,43.656927,-79.378497,14
119,43.780468305361154,-79.43280415488479,0
120,43.646677,-79.442741,1
121,43.6571,-79.4056,0
122,43.69595,-79.328535,10
123,43.64283,-79.38409,9
124,43.70820992643782,-79.45627808717194,0
125,43.66986,-79.398443,5
126,43.671535,-79.379173,3
127,43.669813,-79.3335,18
128,43.69415,-79.45782580000001,2
129,43.6460145694434,-79.39960497726345,2
130,43.652327224103,-79.3882538196087,0
131,43.651922,-79.465693,1
132,43.648928,-79.378623,7
133,43.779353,-79.193023,1
134,43.77682938751077,-79.2305003612381,4
135,43.637922,-79.431734,0
136,43.695498400279796,-79.48809394482672,7
137,43.650152,-79.379856,18
138,43.72534466992445,-79.2976874085289,12
139,43.635492,-79.398253,14
140,43.79236326442992,-79.35836318028717,4
141,43.6417852,-79.4131148,1
142,43.66834,-79.38235,16
143,43.665523,-79.484892,1
144,43.689293,-79.295895,0
145,43.633537,-79.437461,16
146,43.697139,-79.31469,0
147,43.64039672322004,-79.4237424131447,7
148,43.6673,-79.374,11
149,43.6478206,-79.3704721,8
150,43.66587,-79.33443,3
151,43.6399714,-79.39940399999999,7
152,43.6799477790745,-79.38994813684005,3
153,43.657266,-79.374756,7
154,43.6580442,-79.3927404,2
155,43.6477785,-79.3847928,20
156,43.74445257991756,-79.56824985721664,1
157,43.63632,-79.47307,10
158,43.711751,-79.378615,17
159,43.650033,-79.396555,16
160,43.7254665,-79.40115449999999,8
161,43.66943,-79.38915,9
162,43.665538,-79.451263,0
163,43.6739269797493,-79.46068479021301,1
164,43.674444,-79.414722,0
165,43.674446,-79.398331,3
166,43.65995,-79.38964,12
167,43.727365488246306,-79.3814254607724,7
168,43.656038841714505,-79.38970387738495,0
169,43.64514249449372,-79.39510358283808,16
170,43.6629228,-79.4018451,20
171,43.789068698639504,-79.39315096004944,1
172,43.67115532642577,-79.46701597756929,0
173,43.70735572654095,-79.43723072209013,0
174,43.63811,-79.397877,4
175,43.6535052,-79.3667689,8
176,43.66073,-79.47149,0
177,43.77327261711258,-79.21971485277862,0
178,43.678685,-79.297974,2
179,43.6700692,-79.2971326,19
180,43.644395,-79.40065430000001,20
181,43.655431,-79.380653,17
182,43.665304278965365,-79.39938263802871,7
183,43.6560758,-79.393259,12
184,43.681114,-79.3373885,6
185,43.641952,-79.380723,17
186,43.73262849415089,-79.5381993243286,2
187,43.6616667,-79.40138888888889,0
188,43.77037892370793,-79.36702734195678,4
189,43.697356080874876,-79.28528711019696,7
190,43.74845421407306,-79.5504039969242,2
191,43.672453,-79.338259,5
192,43.6614605,-79.37894570000002,12
193,43.6882821,-79.4253856,1
194,43.65082785552666,-79.39698099821702,9
195,43.66207,-79.37617,6
196,43.706191092397106,-79.53262795581969,0
197,43.663808,-79.410491,2
198,43.6846177,-79.39245919999999,1
199,43.671389,-79.416389,0
200,43.665327,-79.43235,2
201,43.640132,-79.380464,42
202,43.689211,-79.35438,5
203,43.6521,-79.4486,2
204,43.70567,-79.310554,6
205,43.667023,-79.401805,12
206,43.6602021,-79.4342726,2
207,43.68698672516659,-79.33478198280334,4
208,43.6653032,-79.4701178,4
209,43.720233,-79.362092,8
210,43.677076,-79.35667,5
211,43.68370788065334,-79.32262453633884,4
212,43.77060244428048,-79.45997589178772,1
213,43.669604,-79.381171,8
214,43.641646,-79.375308,28
215,43.63737145931921,-79.38976958703309,22
216,43.7842419,-79.1849889,4
217,43.640885,-79.416379,1
218,43.64422,-79.36927,14
219,43.75919330632997,-79.49001046850891,4
220,43.683884,-79.36647,8
221,43.680207,-79.339243,0
222,43.697490048103,-79.25655146462776,5
223,43.64392767366328,-79.3687301736982,11
224,43.6926825,-79.441042,4
225,43.68114,-79.4277,0
226,43.663912,-79.327987,15
227,43.77953,-79.45233,1
228,43.643320932767004,-79.35120948518066,7
229,43.76376964130183,-79.48809242593383,3
230,43.65011637593798,-79.37953068860327,13
231,43.637381,-79.406112,6
232,43.64572868466845,-79.40990680181771,3
233,43.66666667,-79.45833333333334,2
234,43.69933,-79.39199,6
235,43.68850460000001,-79.39416076812287,2
236,43.655103,-79.389295,15
237,43.6442,-79.38702,24
238,43.652219,-79.354455,11
239,43.6574766,-79.373446,3
240,43.646144,-79.377962,44
241,43.651678,-79.375233,13
242,43.653766,-79.4016759,1
243,43.71649675774656,-79.33089439933623,15
244,43.66526761605873,-79.47502122887077,3
245,43.70241717215276,-79.36175932936095,1
246,43.662365,-79.351104,11
247,43.657192,-79.452559,1
248,43.696708,-79.40045,2
249,43.7110442448186,-79.29127313845584,11
250,43.646552,-79.399586,5
251,43.65905,-79.422988,1
252,43.60116229109828,-79.50416046627045,7
253,43.64309687937765,-79.42875613770637,4
254,43.76128605777495,-79.41071644205269,3
255,43.676667,-79.416111,0
256,43.657343,-79.43112,2
257,43.76507271818177,-79.23835381614684,1
258,43.72268,-79.37644,3
259,43.644887,-79.45641169999999,6
260,43.732975,-79.40401,2
261,43.687204264115415,-79.39269726524513,1
262,43.678276306636576,-79.50667332401198,0
263,43.716652,-79.399993,5
264,43.6596299,-79.4799176,2
265,43.656633,-79.379625,30
266,43.6592088,-79.3348396,14
267,43.660296,-79.397107,10
268,43.754978,-79.1971289,5
269,43.64407,-79.3929,22
270,43.736952572933866,-79.24798367249146,2
271,43.64595,-79.378761,2
272,43.6605603,-79.3437663,6
273,43.6448617,-79.42822,6
274,43.69144464414302,-79.50154583869246,0
275,43.666051,-79.374161,30
276,43.6475,-79.43305555555555,4
277,43.6808774,-79.3304491,1
278,43.6469251,-79.3733192,13
279,43.707225,-79.345324,8
280,43.71024429599603,-79.39578744603273,5
281,43.640255,-79.439223,4
282,43.6171635,-79.4971065,12
283,43.707582,-79.311439,3
284,43.5961692,-79.5160575,15
285,43.69705023028765,-79.4437599043325,7
286,43.668153,-79.38891,15
287,43.67142,-79.445947,2
288,43.671293,-79.380471,17
289,43.63771,-79.458173,8
290,43.698841,-79.519472,0
291,43.6954486,-79.4026176,0
292,43.671771,-79.324961,4
293,43.623708,-79.490054,9
294,43.662712,-79.379903,18
295,43.6548521,-79.35397680000001,8
296,43.64852,-79.380576,12
297,43.671946102001826,-79.37245115337294,2
298,43.654004,-79.444792,1
299,43.702340220597975,-79.50347389514123,3
300,43.6668334195837,-79.38120391054117,5
301,43.64570236705167,-79.41933192053696,10
302,43.645658591546216,-79.52339938954925,2
303,43.640114,-79.393249,8
304,43.648437,-79.39838,11
305,43.671278,-79.372127,8
306,43.721761400691236,-79.2359137196434,9
307,43.6608333,-79.43166666666667,3
308,43.675531973168354,-79.47199740066374,0
309,43.63675592256874,-79.39920538954927,5
310,43.646162,-79.378912,5
311,43.67036917803197,-79.32782698645094,11
312,43.697417070558615,-79.50079830912324,1
313,43.785346474479695,-79.35362921031188,0
314,43.6544839,-79.34105699999999,15
315,43.69362206784152,-79.27710529695892,2
316,43.636731,-79.444966,6
317,43.70400405297843,-79.34807015078738,6
318,43.657763,-79.389165,22
319,43.646186757495194,-79.51762536747455,23
320,43.6935477,-79.3301658,7
321,43.70163,-79.44099,0
322,43.648575,-79.380042,6
323,43.66981064282057,-79.38801106873031,7
324,43.651281,-79.411717,0
325,43.63796,-79.387502,24
326,43.668427,-79.38725,6
327,43.645102,-79.39744979999999,21
328,43.6910667,-79.39535,8
329,43.715537998967406,-79.32811427663442,5
330,43.7004017,-79.4275305,1
331,43.6784834,-79.3513564,21
332,43.664182,-79.449066,1
333,43.698706949666914,-79.4756586460327,1
334,43.668496,-79.485426,3
335,43.64656806400965,-79.4076868902591,2
336,43.662771,-79.315223,11
337,43.702418581463505,-79.2563167072858,4
338,43.658739,-79.440691,4
339,43.678177,-79.435364,0
340,43.7323277855009,-79.22496619876934,3
341,43.63951,-79.383717,17
342,43.68395,-79.347046,7
343,43.70587454662511,-79.36800595602851,9
344,43.645808552646564,-79.38054652324743,12
345,43.65505698168995,-79.37651024603271,0
346,43.649354475273796,-79.39675713332855,11
347,43.64654941401018,-79.41558900317995,18
348,43.64473387070102,-79.39168963262681,14
349,43.696631,-79.297436,13
350,43.6422222,-79.41111111111111,2
351,43.71940912890232,-79.30226117096939,3
352,43.66196582326018,-79.49851065277862,12
353,43.66908,-79.3149,18
354,43.6753188,-79.3462789,5
355,43.721532966873205,-79.5455834809678,15
356,43.684758,-79.316767,0
357,43.67468857448634,-79.36701962396272,11
358,43.66745,-79.329408,17
359,43.76521,-79.491281,2
360,43.6576,-79.4032,2
361,43.645324,-79.40345,3
362,43.64235480340359,-79.39519751877137,12
363,43.72211166436462,-79.30864830919265,1
364,43.748713,-79.541808,0
365,43.665645,-79.304711,25
366,43.645859,-79.38783,23
367,43.658574,-79.487246,3
368,43.63467323676012,-79.40897321886649,7
369,43.6582,-79.3768,8
370,43.688028,-79.460265,1
371,43.77245563489829,-79.45102085413427,1
372,43.6476,-79.4015,6
373,43.664088,-79.387095,19
374,43.642904395956684,-79.43746059447746,9
375,43.671561,-79.38117,8
376,43.64781808540915,-79.38427999073791,14
377,43.707045,-79.375437,6
378,43.7170472128686,-79.25461030789113,9
379,43.69143920681119,-79.46908634795456,2
380,43.669232,-79.374495,2
381,43.683979,-79.410657,7
382,43.6950192,-79.27180659999999,2
383,43.69867103968614,-79.43680738560357,7
384,43.7641485,-79.5012809,3
385,43.64285244644315,-79.53199489206543,13
386,43.656296,-79.414663,1
387,43.637894,-79.454823,3
388,43.647547634759206,-79.39155200496292,10
389,43.65716,-79.46478,1
390,43.682645,-79.377557,2
391,43.652823,-79.393388,8
392,43.680466,-79.432522,0
393,43.66189,-79.42679,3
394,43.7027268,-79.33368089999999,7
395,43.62052630763223,-79.48320224237995,16
396,43.657991,-79.340075,7
397,43.650945,-79.379498,45
398,43.655972,-79.370638,7
399,43.687999,-79.38906,1
400,43.66273618779861,-79.36253100740966,1
401,43.643769,-79.447915,2
402,43.70925763810859,-79.44169105036657,0
403,43.6352007,-79.4187711,6
404,43.71602024377182,-79.3047092517501,0
405,43.673939,-79.441159,0
406,43.769395456625546,-79.41266521769707,2
407,43.6672144,-79.3452697,11
408,43.657275497390124,-79.32661544194183,13
409,43.660207,-79.361275,11
410,43.7078691,-79.39248,11
411,43.6638889,-79.41888888888889,2
412,43.6752732,-79.3778458,1
413,43.699281,-79.318802,0
414,43.681991,-79.329455,8
415,43.667076,-79.425116,1
416,43.643025055165865,-79.39430137761319,5
417,43.707049,-79.40966,1
418,43.64827015761016,-79.35651733677065,7
419,43.687211810315254,-79.39269591804246,0
420,43.714305793017544,-79.36089045040129,6
421,43.744208202155754,-79.21564636613158,8
422,43.7494501,-79.4869662,13
423,43.66842,-79.410585,1
424,43.70518328279426,-79.34224729962946,7
425,43.6570908165693,-79.38593668834272,10
426,43.60191488118503,-79.49941888654288,11
427,43.6626628,-79.3323698,12
428,43.685221,-79.294766,0
429,43.688325,-79.300463,5
430,43.7154661,-79.2876595,15
431,43.663102,-79.373181,8
432,43.70876747477083,-79.53445192394257,0
433,43.675492,-79.388858,1
434,43.6962302,-79.39504339999999,7
435,43.64981903446256,-79.38641270251617,13
436,43.65016869999999,-79.4963345,10
437,43.6765897,-79.3163022,12
438,43.717678679534906,-79.29961580314475,2
439,43.77121894873629,-79.22956526983644,10
440,43.661975,-79.407896,3
441,43.706466,-79.29511,3
442,43.659471,-79.350325,10
443,43.66713121831853,-79.3995550638237,7
444,43.6563888888889,-79.4091666666667,2
